Titles	Comedy	Romance	Adventure	Biography	Drama	History	Action	Crime	Thriller	Mystery	Scifi	Fantasy	Western	Music	War	Family	Sport	Documentary	Short
mrs brown	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
monty python and the holy grail	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
moonstruck	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
friday the 13th part viii: jason takes manhattan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"murderland"	-	-	-	-	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-
mulholland dr.	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
star trek: insurrection	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
star trek iv: the voyage home	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
star trek vi: the undiscovered country	-	-	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-
superman ii	-	+	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
superman iv: the quest for peace	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	+	-	-	-
supergirl	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
star trek: first contact	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
sweet smell of success	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
terminator 2: judgment day	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
game 6	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
the sweet hereafter	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
star trek: generations	-	-	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-
taking sides	-	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-
the terminator	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
stalag 17	-	-	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
star trek: the wrath of khan	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
star trek iii: the search for spock	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
nick of time	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the night of the hunter	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
napoleon	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
next friday	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the mummy	-	-	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-
mystery men	+	-	-	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-
mr. deeds goes to town	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mumford	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
a nightmare on elm street	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ninotchka	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
starman	-	+	+	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-
star trek: nemesis	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
the fifth element	-	+	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
48 hrs.	+	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
a nightmare on elm street 4: the dream master	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-
8mm	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
1492: conquest of paradise	-	-	+	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
10 things i hate about you	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2001: a space odyssey	-	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-
15 minutes	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the atomic submarine	-	-	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-
a nightmare on elm street: the dream child	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-
wonder boys	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
high fidelity	+	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-
highlander	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-
hellboy	-	-	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-
hellraiser	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
harold and maude	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hellbound: hellraiser ii	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
happy birthday, wanda june	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hardcore	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
halloween h20: 20 years later	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
halloween: the curse of michael myers	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the woodsman	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
trainspotting	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
witness	-	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
star trek v: the final frontier	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
u-turn	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
midnight cowboy	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
midnight express	-	-	-	+	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
man on the moon	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the matrix	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
manhunt	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
manhunter	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
memento	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
glengarry glen ross	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
halloween iii: season of the witch	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-
meet joe black	-	+	-	-	+	-	-	-	-	+	-	+	-	-	-	-	-	-	-
the godfather: part ii	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
u turn	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
antz	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
the anniversary party	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
apocalypse now	-	-	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
the apartment	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
an american werewolf in paris	+	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
american pie	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dune	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
ed wood	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
do the right thing	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dumb and dumberer: when harry met lloyd	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dog day afternoon	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
domino	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the devil and daniel webster	+	-	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
arctic blue	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
the deer hunter	-	-	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
demolition man	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
scream 3	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
scream	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
schindler's list	-	-	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-
scream 2	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
life as a house	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
legend	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
salt of the earth	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
the salton sea	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
labor of love	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
léon	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
legally blonde	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
leaving las vegas	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kids	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
kalifornia	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
krull	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
knight moves	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
fear and loathing in las vegas	-	-	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
feast	+	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
frances	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
frankenstein	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-
friday the 13th	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
from dusk till dawn	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
g.i. jane	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-
godzilla	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
galaxy quest	+	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
george washington	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
planet of the apes	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
someone to watch over me	-	+	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
spider-man	-	-	+	-	-	-	+	-	+	-	+	+	-	-	-	-	-	-	-
the sixth sense	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
slash	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
silverado	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-
simone	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	+
smokin' aces	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
solaris	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-
slither	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
smokey and the bandit	+	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
willow	-	+	+	-	+	-	+	-	-	-	-	+	-	-	-	-	-	-	-
watchmen	-	-	-	-	-	-	+	+	+	+	+	+	-	-	-	-	-	-	-
xxx	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
the wizard of oz	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-
the world is not enough	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
zulu dawn	-	-	+	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	-
x-men	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
young frankenstein	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
wild things	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
what lies beneath	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
waxwork	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
a walk to remember	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
back to the future	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-
human nature	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
house of 1000 corpses	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
annie hall	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i am legend	-	-	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-
anastasia	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-
the hustler	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
independence day	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
invaders from mars	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
as good as it gets	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
die hard	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the beach	-	+	+	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the third man	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
body of evidence	-	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the bridges of madison county	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blood simple.	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
bloodmoon	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
blow	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
la battaglia di algeri	-	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-
the black dahlia	-	-	-	-	+	+	-	+	+	+	-	-	-	-	-	-	-	-	-
blade ii	-	-	+	-	-	-	+	-	+	-	-	+	-	-	-	-	-	-	-
blade	-	-	+	-	-	-	+	-	+	-	-	+	-	-	-	-	-	-	-
book of shadows: blair witch 2	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
saving private ryan	-	-	-	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	-
say anything...	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the haunting	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
the game	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
the body snatcher	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the birds	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
suspect zero	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-
strange days	-	-	-	-	+	-	+	+	+	+	+	+	-	+	-	-	-	-	-
the godfather	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
swingers	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
taxi driver	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the talented mr. ripley	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the majestic	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the rock	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
pretty woman	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
highlander iii: the sorcerer	-	-	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
hostage	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
seven	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-
hannah and her sisters	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hannibal	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
happy campers	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
heathers	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
heavenly creatures	-	-	-	-	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-
hellraiser: hellseeker	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
hero	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hider in the house	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
barry lyndon	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-
basic	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
bachelor party	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
backdraft	-	-	-	-	+	-	+	+	+	+	-	-	-	-	-	-	-	-	-
bad lieutenant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
bamboozled	+	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-
american psycho	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
antitrust	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
austin powers: international man of mystery	+	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-
the avengers	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
grosse pointe blank	+	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the grapes of wrath	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hackers	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the horse whisperer	-	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-
gone in sixty seconds	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
gods and monsters	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
good will hunting	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
goodfellas	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the ploughman's lunch	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
point break	-	-	+	-	+	-	+	+	+	-	-	-	-	-	-	-	+	-	-
platoon	-	-	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-
playback	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
halloween	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
halloween 4: the return of michael myers	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
pet sematary ii	-	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
philadelphia	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lost horizon	-	-	+	-	+	-	-	-	-	+	-	+	-	-	-	-	-	-	-
men in black	+	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
minority report	-	-	-	-	+	-	+	+	+	+	+	-	-	-	-	-	-	-	-
made	+	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
the life of david gale	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
little nicky	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
logan's run	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
lost highway	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-
malcolm x	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
man on fire	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
ronin	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
route 9	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
rush hour 2	+	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
rush hour	+	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
the rocky horror picture show	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rocky	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
who framed roger rabbit	+	-	+	-	-	-	+	+	-	+	-	+	-	-	-	+	-	-	-
romeo and juliet	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the truman show	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the relic	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
the cell	-	-	-	-	+	-	-	-	+	-	+	+	-	-	-	-	-	-	-
the x files	-	-	-	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-
runaway bride	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sleepless in seattle	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the man who wasn't there	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
the limey	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
no country for old men	-	-	-	-	+	-	-	+	+	+	-	-	+	-	-	-	-	-	-
nixon	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
o brother, where art thou?	+	-	+	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-
nurse betty	+	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
panic room	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
an officer and a gentleman	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the patriot	-	-	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-
panther	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pirates of the caribbean	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
pet sematary	-	-	-	-	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-
superman	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	+	-	-	-
pitch black	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
fight club	-	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
final destination 2	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the family man	+	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
the fantastic four	-	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	-
fantastic voyage	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
fargo	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
excalibur	-	-	+	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
the exorcist	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the fabulous baker boys	-	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-
face/off	-	-	-	-	+	-	+	+	+	-	+	-	-	-	-	-	-	-	-
escape from l.a.	-	-	+	-	-	-	+	-	+	-	+	-	-	-	-	-	-	-	-
